name,rmsd_start,rmsd_end,plddt,ptm,rmsd_constraint,langevin,single_state_plddt,single_state_rmsd,curvature_mean,curvature_max,U,-PLL
5KPE_2_2_3_id14,1.6211971044540405,0.9397923946380615,93.87425925925926,0.84,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-227.03439331054688,2.7180543122468173
5KPE_2_2_3_id15,1.6439577341079712,1.0543792247772217,89.03027777777777,0.77,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-228.53631591796875,2.683017024287471
5KPE_2_2_3_id16,1.7376147508621216,1.1113324165344238,94.01629629629632,0.84,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-227.7672119140625,2.639503761574074
5KPE_2_2_3_id17,1.627378225326538,1.026526689529419,94.69083333333334,0.85,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-231.4621124267578,2.5927160757559315
5KPE_2_2_3_id18,1.3641284704208374,1.1366612911224365,91.20407407407409,0.8,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-232.96047973632807,2.4231265032732927
5KPE_2_2_3_id19,1.606657862663269,1.1494979858398438,93.4350925925926,0.85,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-232.6776123046875,2.472533614547164
5KPE_2_2_3_id2,1.4160476922988892,1.1438230276107788,91.2849074074074,0.81,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-230.62506103515625,2.3723653157552085
5KPE_2_2_3_id20,1.3353385925292969,1.1348278522491455,91.80055555555552,0.81,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-231.31442260742188,2.3964965255172164
5KPE_2_2_3_id21,1.0966379642486572,1.1948294639587402,88.76037037037038,0.74,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-231.43243408203125,2.620183308919271
5KPE_2_2_3_id22,1.3907450437545776,1.342882752418518,89.98972222222223,0.78,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-230.0731201171875,2.6319808959960938
5KPE_2_2_3_id23,1.7058075666427612,1.1099883317947388,88.3135185185185,0.75,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-227.7587890625,2.463616830331308
5KPE_2_2_3_id3,1.0104894638061523,1.4170103073120117,91.08157407407408,0.8,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-230.83425903320312,2.5309052643952548
5KPE_2_2_3_id4,1.5758898258209229,0.9893167018890381,92.12379629629628,0.81,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-229.5268402099609,2.287817495840568
5KPE_2_2_3_id5,1.1233711242675781,1.4251136779785156,88.73657407407407,0.75,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-230.4002990722656,2.666474801522714
5KPE_2_2_3_id6,1.3201255798339844,1.2747836112976074,90.54314814814816,0.8,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-230.25946044921875,2.4661308571144387
5KPE_2_2_3_id7,1.4499496221542358,1.2913973331451416,93.68972222222224,0.83,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-228.4916076660156,2.616787380642361
5KPE_2_2_3_id8,1.3593871593475342,1.1409766674041748,91.74324074074076,0.8,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-231.12765502929688,2.540802001953125
5KPE_2_2_3_id9,1.1557449102401733,1.2578679323196411,93.71555555555555,0.85,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-230.81460571289065,2.5036451551649304
5KPE_2_2_5_id0,1.9429287910461426,1.1523066759109497,93.40500000000002,0.83,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-223.2685546875,2.401297957808883
5KPE_2_2_5_id1,1.4486873149871826,1.275758147239685,95.3535185185185,0.84,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-223.5355529785156,2.5313392921730324
5KPE_2_2_5_id10,1.1092337369918823,1.3522943258285522,88.2462962962963,0.75,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-226.36526489257807,2.352524510136357
5KPE_2_2_5_id11,0.9547650814056396,1.580856204032898,92.09574074074074,0.78,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-222.5121154785156,2.30265384250217
5KPE_2_2_5_id12,1.2736096382141113,1.2333911657333374,90.89675925925928,0.76,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-226.7956695556641,2.370054739492911
5KPE_2_2_5_id13,1.454501748085022,1.2824211120605469,89.08407407407407,0.77,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-224.1854248046875,2.27324789541739
5KPE_2_2_5_id14,1.6141321659088135,1.0375499725341797,90.96435185185184,0.79,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-227.77847290039065,2.426547297724971
5KPE_2_2_5_id15,1.5748323202133179,1.3322728872299194,94.94240740740742,0.84,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-225.2340850830078,2.68124587447555
5KPE_2_2_5_id16,1.5372973680496216,1.328934669494629,92.79370370370371,0.82,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-225.5411529541016,2.517277470341435
5KPE_2_2_5_id17,1.2807481288909912,1.500087857246399,90.38833333333334,0.75,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-224.49917602539065,2.3757397686993635
5KPE_2_2_5_id18,1.602397084236145,1.1411516666412354,92.62314814814816,0.83,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-224.1543884277344,2.698152330186632
5KPE_2_2_5_id19,1.4674452543258667,1.271388292312622,92.95962962962962,0.82,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-224.9232940673828,2.464801081904658
5KPE_2_2_5_id2,1.6779086589813232,1.077743649482727,90.1650925925926,0.78,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-223.8082733154297,2.55025397406684
5KPE_2_2_5_id20,1.696970820426941,1.2380894422531128,93.66638888888887,0.82,2,2,94.38935185185184,0.7625590562820435,20.67701,68.1722,-224.32261657714844,2.446623060438368
