name,seed,model,plddt,ptm,rmsd_start,rmsd_end
5KPE_2_2_9_0_combined_id15,43,4,85.1342592592593,0.68,1.4779553413391113,1.742206335067749
5KPE_2_4_7_0_combined_id23,43,1,71.22203703703705,0.54,5.438078880310059,6.077102184295654
5KPH_4_8_6_0_combined_id3,43,4,86.20458333333335,0.69,1.1395854949951172,3.3364479541778564
5KPH_4_6_6_0_combined_id14,43,2,84.21958333333333,0.65,1.1279584169387817,3.5002310276031494
5KPH_4_2_4_0_combined_id23,42,2,89.43694444444444,0.72,0.774075448513031,3.6254804134368896
5KPE_6_6_2_0_combined_id4,43,1,66.24027777777779,0.51,11.114400863647461,12.236605644226074
5KPE_2_8_3_0_combined_id2,44,4,88.94194444444446,0.74,1.2407071590423584,1.5684118270874023
5KPH_2_6_4_0_combined_id1,43,5,95.8125,0.81,0.5574913620948792,2.1656620502471924
5KPE_2_4_3_0_combined_id5,44,5,89.30564814814814,0.73,1.1426875591278076,1.6440367698669434
5KPH_4_2_6_0_combined_id4,42,5,87.37305555555557,0.7,0.7091354131698608,4.198457717895508
5KPH_4_8_8_0_combined_id4,42,5,91.22472222222224,0.72,0.8532371520996094,4.40955924987793
5KPE_8_2_7_0_combined_id3,44,4,77.69027777777777,0.63,6.1545891761779785,5.067315578460693
5KPH_4_8_0_0_combined_id23,42,2,93.32166666666666,0.78,0.7798481583595276,4.191788196563721
5KPH_4_2_3_0_combined_id18,44,2,85.53875,0.69,1.7419582605361938,2.968309164047241
5KPE_2_4_3_0_combined_id11,43,1,90.7375925925926,0.77,1.475782036781311,1.310482144355774
5KPH_4_6_2_0_combined_id10,43,5,87.72513888888889,0.68,0.9632151126861572,3.6628527641296387
5KPH_2_2_7_0_combined_id7,42,1,92.2501388888889,0.77,0.6550413370132446,2.0233075618743896
5KPH_8_6_4_0_combined_id12,43,2,90.2002777777778,0.67,3.2721545696258545,7.504709243774414
5KPH_2_2_2_0_combined_id22,42,2,93.46902777777778,0.79,0.7574988007545471,2.039855718612671
5KPH_2_2_8_0_combined_id13,43,2,95.20291666666668,0.81,1.0132333040237427,1.2773470878601074
5KPE_4_4_4_0_combined_id2,42,4,89.6100925925926,0.77,1.4989392757415771,2.9924347400665283
5KPE_4_4_6_0_combined_id11,42,4,86.98824074074075,0.75,1.429931879043579,2.917649030685425
5KPH_4_8_6_0_combined_id8,43,4,87.32583333333334,0.69,2.233095169067383,2.2224934101104736
5KPH_4_2_7_0_combined_id20,43,5,90.85125,0.73,0.7661061882972717,4.1676764488220215
5KPE_4_8_9_0_combined_id13,44,3,84.79472222222222,0.68,1.2499223947525024,3.698911190032959
5KPE_2_8_6_0_combined_id13,44,4,70.57222222222224,0.58,10.959370613098145,11.986039161682129
5KPH_6_4_0_0_combined_id1,44,5,81.93416666666667,0.62,1.2946736812591553,5.735118865966797
5KPH_6_2_5_0_combined_id19,43,3,88.14319444444445,0.68,1.2549798488616943,4.888306140899658
5KPH_2_4_8_0_combined_id12,42,3,88.37472222222222,0.65,1.3533546924591064,1.6145905256271362
